,Glyph,Keep,English+,English Tailored
1275,🔗,TRUE,Link,"Link In Bio, Guilty As Charged"
1276,📎,TRUE,"Paperclip, Clippy",
1277,🖇️,TRUE,,
1278,📐,TRUE,Triangle,Off On A Tangent
1279,📏,TRUE,Rulah,"Despotic Ruler, Measure Twice, Close Enough, Tall Order, Not An Inch"
1280,🧮,FALSE,,
1281,📌,FALSE,,
1282,📍,FALSE,"King Pin, Hair Pin",
1283,✂️,TRUE,Scissor,"Edward Scissorhands, Shear Luck, Trim It Down, Final Cut, CTRL X, Cuttin Corners, Safety Scissors, Cutting It Close, Splittin Hairs, Clippin Wings, Cut Out The Middleman"
1284,🖊️,TRUE,,
1285,🖋️,TRUE,"Pen, Wordsmith",
1286,✒️,TRUE,"Pen, Poet, Writer",
1287,🖌️,TRUE,,"Artistic License, Brushed Off"
1288,🖍️,TRUE,Crayon,"Out Of Line, Colour Me Pink, Artistic Differences, Doodle Noodle, Drawing Blanks, Crayola Payola"
1289,📝,FALSE,,
1290,✏️,TRUE,"Scribble, Doodle, Pencil, Note",
1291,🔍,TRUE,,"Zoom In, A Closer Look, DIY Laser"
1292,🔎,FALSE,,
1293,🔏,FALSE,,
1294,🔐,FALSE,,
1295,🔒,FALSE,,
1296,🔓,FALSE,,
1297,🩷,FALSE,,
1298,❤️,FALSE,,
1299,🧡,FALSE,,
1300,💛,FALSE,,
1301,💚,FALSE,,
1302,🩵,FALSE,,
1303,💙,FALSE,,
1304,💜,FALSE,,
1305,🖤,FALSE,,
1306,🩶,FALSE,,
1307,🤍,FALSE,,
1308,🤎,FALSE,,
1309,💔,FALSE,,Change Of Heart
1310,❤️‍🔥,TRUE,Arson,Skinamarinky Dink
1311,❤️‍🩹,TRUE,Woe,
1312,❣️,FALSE,,
1313,💕,FALSE,,
1314,💞,FALSE,,
1315,💓,FALSE,,
1316,💗,FALSE,,
1317,💖,FALSE,,
1318,💘,FALSE,,
1319,💝,FALSE,,
1320,💟,FALSE,,
1321,☮️,FALSE,,
1322,✝️,FALSE,,
1323,☪️,FALSE,,
1324,🕉️,FALSE,,
1325,☸️,FALSE,,
1326,🪯,FALSE,,
1327,✡️,FALSE,,
1328,🔯,FALSE,,
1329,🕎,FALSE,,
1330,☯️,FALSE,,
1331,☦️,FALSE,,
1332,🛐,FALSE,,
1333,⛎,FALSE,,
1334,♈️,FALSE,,
1335,♉️,FALSE,,
1336,♊️,FALSE,,
1337,♋️,FALSE,,
1338,♌️,FALSE,,
1339,♍️,FALSE,,
1340,♎️,FALSE,,
1341,♏️,FALSE,,
1342,♐️,FALSE,,
1343,♑️,FALSE,,
1344,♒️,FALSE,,
1345,♓️,FALSE,,
1346,🆔,FALSE,,
1347,⚛️,FALSE,,
1348,🉑,FALSE,,
1349,☢️,FALSE,,
1350,☣️,FALSE,,
1351,📴,FALSE,,
1352,📳,FALSE,,
1353,🈶,FALSE,,
1354,🈚️,FALSE,,
1355,🈸,FALSE,,
1356,🈺,FALSE,,
1357,🈷️,FALSE,,
1358,✴️,FALSE,,
1359,🆚,FALSE,,
1360,💮,FALSE,,
1361,🉐,FALSE,,
1362,㊙️,FALSE,,
1363,㊗️,FALSE,,
1364,🈴,FALSE,,
1365,🈵,FALSE,,
1366,🈹,FALSE,,
1367,🈲,FALSE,,
1368,🅰️,FALSE,,
1369,🅱️,FALSE,,
1370,🆎,FALSE,,
1371,🆑,FALSE,,
1372,🅾️,FALSE,,
1373,🆘,FALSE,,
1374,❌,FALSE,,
1375,⭕️,FALSE,,
1376,🛑,FALSE,,Idaho Stop
1377,⛔️,FALSE,,
1378,📛,FALSE,,
1379,🚫,FALSE,,
1380,💯,FALSE,,
1381,💢,FALSE,,
1382,♨️,FALSE,,
1383,🚷,FALSE,,
1384,🚯,FALSE,,
1385,🚳,FALSE,,
1386,🚱,FALSE,,
1387,🔞,FALSE,,
1388,📵,FALSE,,
1389,🚭,FALSE,,
1390,❗️,FALSE,,
1391,❕,FALSE,,
1392,❓,FALSE,,
1393,❔,FALSE,,
1394,‼️,FALSE,,
1395,⁉️,FALSE,,
1396,🔅,FALSE,,
1397,🔆,FALSE,,
1398,〽️,FALSE,,
1399,⚠️,FALSE,,
1400,🚸,TRUE,Crosswalk,"I'm Walkin Here!, Criss Crosser"
1401,🔱,TRUE,Seafork,"Making Waves, Sea Fork, Neptune's Cutlery"
1402,⚜️,TRUE,Bobo,"Go Nordiques, French Quarter, Bourbon Street, Mardi Gras, Bon Temps, Vive Le Quebec Libre"
1403,🔰,FALSE,,
1404,♻️,TRUE,Recycle,"Can't Reduce Can't Reuse, Recycled Joke, One Man's Trash, Back In Rotation"
1405,✅,FALSE,,
1406,🈯️,FALSE,,
1407,💹,FALSE,,
1408,❇️,FALSE,,
1409,✳️,FALSE,,
1410,❎,FALSE,,
1411,🌐,FALSE,,
1412,💠,FALSE,,
1413,Ⓜ️,FALSE,,
1414,🌀,TRUE,Typhoon,"Spiralling Outta Control, Going In Circles, Round We Go, Circling The Drain, Infinite Loop, Currently Loading, I'm Buffering"
1415,💤,TRUE,Siesta,"Busy Hibernating, Sleep Deprivation, Recharge Mode, Nap Time, The Need To Lie Down, Pillow Tester"
1416,🏧,FALSE,,
1417,🚾,FALSE,,
1418,♿️,FALSE,,
1419,🅿️,FALSE,,
1420,🛗,FALSE,,
1421,🈳,FALSE,,
1422,🈂️,FALSE,,
1423,🛂,FALSE,,
1424,🛃,FALSE,,
1425,🛄,FALSE,,
1426,🛅,FALSE,,
1427,🛜,TRUE,,Wu-Tang LAN
1428,🚹,FALSE,,
1429,🚺,FALSE,,
1430,🚼,FALSE,,Pub Crawl
1435,⚧️,FALSE,,
1436,🚻,FALSE,,
1437,🚮,FALSE,,
1438,🎦,FALSE,,
1439,📶,FALSE,,
1440,🈁,FALSE,,
1441,🔣,FALSE,,
1442,ℹ️,FALSE,,
1443,🔤,FALSE,,
1444,🔡,FALSE,,
1445,🔠,FALSE,,
1446,🆖,FALSE,,
1447,🆗,FALSE,,
1448,🆙,FALSE,,
1449,🆒,FALSE,,
1450,🆕,FALSE,,
1451,🆓,FALSE,,
1452,0️⃣,FALSE,,
1453,1️⃣,FALSE,,
1454,2️⃣,FALSE,,
1455,3️⃣,FALSE,,
1456,4️⃣,FALSE,,
1457,5️⃣,FALSE,,
1458,6️⃣,FALSE,,
1459,7️⃣,FALSE,,
1460,8️⃣,FALSE,,
1461,9️⃣,FALSE,,
1462,🔟,FALSE,,
1463,🔢,FALSE,,
1464,#️⃣,FALSE,,
1465,*️⃣,FALSE,,
1466,⏏️,FALSE,,
1467,▶️,FALSE,,
1468,⏸️,FALSE,,
1469,⏯️,FALSE,,
1470,⏹️,FALSE,,
1471,⏺️,FALSE,,
1472,⏭️,FALSE,,
1473,⏮️,FALSE,,
1474,⏩️,FALSE,,
1475,⏪️,FALSE,,
1476,⏫️,FALSE,,
1477,⏬️,FALSE,,
1478,◀️,FALSE,,
1479,🔼,FALSE,,
1480,🔽,FALSE,,
1481,➡️,FALSE,,
1482,⬅️,FALSE,,
1483,⬆️,FALSE,,
1484,⬇️,FALSE,,
1485,↗️,FALSE,,
1486,↘️,FALSE,,
1487,↙️,FALSE,,
1488,↖️,FALSE,,
1489,↕️,FALSE,,
1490,↔️,FALSE,,
1491,↪️,FALSE,,
1492,↩️,FALSE,,
1493,⤴️,FALSE,,
1494,⤵️,FALSE,,
1495,🔀,FALSE,,
1496,🔁,FALSE,,
1497,🔂,FALSE,,
1498,🔄,FALSE,,
1499,🔃,FALSE,,
1500,🎵,TRUE,Jazz,
1501,🎶,TRUE,Boogie,
1502,➕,FALSE,,
1503,➖,FALSE,,
1504,➗,FALSE,,
1505,✖️,FALSE,,
1506,🟰,FALSE,,
1507,♾️,FALSE,,
1508,💲,FALSE,,
1509,💱,FALSE,,
1510,™️,FALSE,,
1511,©️,FALSE,,
1512,®️,FALSE,,
1513,👁️‍🗨️,TRUE,Eyeball,Wandering Eye
1514,🔚,FALSE,,
1515,🔙,FALSE,,
1516,🔛,FALSE,,
1517,🔝,FALSE,,
1518,🔜,FALSE,,
1519,〰️,FALSE,,
1520,➰,FALSE,,
1521,➿,FALSE,,
1522,✔️,FALSE,,
1523,☑️,FALSE,,
1524,🔘,FALSE,,
1525,🔴,FALSE,,
1526,🟠,FALSE,,
1527,🟡,FALSE,,
1528,🟢,FALSE,,
1529,🔵,FALSE,,
1530,🟣,FALSE,,
1531,⚫️,FALSE,,
1532,⚪️,FALSE,,
1533,🟤,FALSE,,
1534,🔺,FALSE,,
1535,🔻,FALSE,,
1536,🔸,FALSE,,
1537,🔹,FALSE,,
1538,🔶,FALSE,,
1539,🔷,FALSE,,
1540,🔳,FALSE,,
1541,🔲,FALSE,,
1542,▪️,FALSE,,
1543,▫️,FALSE,,
1544,◾️,FALSE,,
1545,◽️,FALSE,,
1546,◼️,FALSE,,
1547,◻️,FALSE,,
1548,🟥,FALSE,,
1549,🟧,FALSE,,
1550,🟨,FALSE,,
1551,🟩,FALSE,,
1552,🟦,FALSE,,
1553,🟪,FALSE,,
1554,⬛️,FALSE,,
1555,⬜️,FALSE,,
1556,🟫,FALSE,,
1557,🔈,FALSE,,
1558,🔇,FALSE,,
1559,🔉,FALSE,,
1560,🔊,FALSE,,
1561,🔔,TRUE,,Ding Dong
1562,🔕,FALSE,,
1563,📣,TRUE,,
1564,📢,FALSE,,
1565,💬,FALSE,,
1566,💭,FALSE,,
1567,🗯️,TRUE,Brouhaha,
1568,♠️,FALSE,,
1569,♣️,FALSE,,
1570,♥️,FALSE,,
1571,♦️,FALSE,,
1572,🃏,TRUE,Joker,"Holdin All The Cards, Playing The Fool, Stacked Deck, All Bets Are Off, Mild Card"
1573,🎴,TRUE,Tarot,Activated My Trap Card
1574,🀄️,FALSE,,
1575,🕐,FALSE,,
1576,🕑,FALSE,,
1577,🕒,FALSE,,
1578,🕓,FALSE,,
1579,🕔,FALSE,,
1580,🕕,FALSE,,
1581,🕖,FALSE,,
1582,🕗,FALSE,,
1583,🕘,FALSE,,
1584,🕙,FALSE,,
1585,🕚,FALSE,,
1586,🕛,FALSE,,
1587,🕜,FALSE,,
1588,🕝,FALSE,,
1589,🕞,FALSE,,
1590,🕟,FALSE,,
1591,🕠,FALSE,,
1592,🕡,FALSE,,
1593,🕢,FALSE,,
1594,🕣,FALSE,,
1595,🕤,FALSE,,
1596,🕥,FALSE,,
1597,🕦,FALSE,,
1598,🕧,FALSE,,
1599,🏳️,TRUE,Surrender,
1600,🏴,FALSE,,
1601,🏴‍☠️,TRUE,Pirate,"See U At The Gallows, But You Have Heard Of Me, Dread Pirate Roberts"
1602,🏁,FALSE,,
1603,🚩,FALSE,,
1604,🏳️‍🌈,TRUE,Pride,
1605,🏳️‍⚧️,TRUE,Pride,
1606,🇺🇳,FALSE,,
1607,🇦🇫,FALSE,,
1608,🇦🇽,FALSE,,
1609,🇦🇱,FALSE,,
1610,🇩🇿,FALSE,,
1611,🇦🇸,FALSE,,
1612,🇦🇩,FALSE,,
1613,🇦🇴,FALSE,,
1614,🇦🇮,FALSE,,
1615,🇦🇶,FALSE,,
1616,🇦🇬,FALSE,,
1617,🇦🇷,FALSE,,
1618,🇦🇲,FALSE,,
1619,🇦🇼,FALSE,,
1620,🇦🇺,FALSE,,
1621,🇦🇹,FALSE,,
1622,🇦🇿,FALSE,,
1623,🇧🇸,FALSE,,
1624,🇧🇭,FALSE,,
1625,🇧🇩,FALSE,,
1626,🇧🇧,FALSE,,
1627,🇧🇾,FALSE,,
1628,🇧🇪,FALSE,,
1629,🇧🇿,FALSE,,
1630,🇧🇯,FALSE,,
1631,🇧🇲,FALSE,,
1632,🇧🇹,FALSE,,
1633,🇧🇴,FALSE,,
1634,🇧🇦,FALSE,,
1635,🇧🇼,FALSE,,
1636,🇧🇷,FALSE,,
1637,🇻🇬,FALSE,,
1638,🇧🇳,FALSE,,
1639,🇧🇬,FALSE,,
1640,🇧🇫,FALSE,,
1641,🇧🇮,FALSE,,
1642,🇰🇭,FALSE,,
1643,🇨🇲,FALSE,,
1644,🇨🇦,FALSE,,
1645,🇮🇨,FALSE,,
1646,🇨🇻,FALSE,,
1647,🇧🇶,FALSE,,
1648,🇰🇾,FALSE,,
1649,🇨🇫,FALSE,,
1650,🇹🇩,FALSE,,
1651,🇮🇴,FALSE,,
1652,🇨🇱,FALSE,,
1653,🇨🇳,FALSE,,
1654,🇨🇽,FALSE,,
1655,🇨🇨,FALSE,,
1656,🇨🇴,FALSE,,
1657,🇰🇲,FALSE,,
1658,🇨🇬,FALSE,,
1659,🇨🇩,FALSE,,
1660,🇨🇰,FALSE,,
1661,🇨🇷,FALSE,,
1662,🇨🇮,FALSE,,
1663,🇭🇷,FALSE,,
1664,🇨🇺,FALSE,,
1665,🇨🇼,FALSE,,
1666,🇨🇾,FALSE,,
1667,🇨🇿,FALSE,,
1668,🇩🇰,FALSE,,
1669,🇩🇯,FALSE,,
1670,🇩🇲,FALSE,,
1671,🇩🇴,FALSE,,
1672,🇪🇨,FALSE,,
1673,🇪🇬,FALSE,,
1674,🇸🇻,FALSE,,
1675,🇬🇶,FALSE,,
1676,🇪🇷,FALSE,,
1677,🇪🇪,FALSE,,
1678,🇸🇿,FALSE,,
1679,🇪🇹,FALSE,,
1680,🇪🇺,FALSE,,
1681,🇫🇰,FALSE,,
1682,🇫🇴,FALSE,,
1683,🇫🇯,FALSE,,
1684,🇫🇮,FALSE,,
1685,🇫🇷,FALSE,,
1686,🇬🇫,FALSE,,
1687,🇵🇫,FALSE,,
1688,🇹🇫,FALSE,,
1689,🇬🇦,FALSE,,
1690,🇬🇲,FALSE,,
1691,🇬🇪,FALSE,,
1692,🇩🇪,FALSE,,
1693,🇬🇭,FALSE,,
1694,🇬🇮,FALSE,,
1695,🇬🇷,FALSE,,
1696,🇬🇱,FALSE,,
1697,🇬🇩,FALSE,,
1698,🇬🇵,FALSE,,
1699,🇬🇺,FALSE,,
1700,🇬🇹,FALSE,,
1701,🇬🇬,FALSE,,
1702,🇬🇳,FALSE,,
1703,🇬🇼,FALSE,,
1704,🇬🇾,FALSE,,
1705,🇭🇹,FALSE,,
1706,🇭🇳,FALSE,,
1707,🇭🇰,FALSE,,
1708,🇭🇺,FALSE,,
1709,🇮🇸,FALSE,,
1710,🇮🇳,FALSE,,
1711,🇮🇩,FALSE,,
1712,🇮🇷,FALSE,,
1713,🇮🇶,FALSE,,
1714,🇮🇪,FALSE,,
1715,🇮🇲,FALSE,,
1716,🇮🇱,FALSE,,
1717,🇮🇹,FALSE,,
1718,🇯🇲,FALSE,,
1719,🇯🇵,FALSE,,
1720,🎌,FALSE,,
1721,🇯🇪,FALSE,,
1722,🇯🇴,FALSE,,
1723,🇰🇿,FALSE,,
1724,🇰🇪,FALSE,,
1725,🇰🇮,FALSE,,
1726,🇽🇰,FALSE,,
1727,🇰🇼,FALSE,,
1728,🇰🇬,FALSE,,
1729,🇱🇦,FALSE,,
1730,🇱🇻,FALSE,,
1731,🇱🇧,FALSE,,
1732,🇱🇸,FALSE,,
1733,🇱🇷,FALSE,,
1734,🇱🇾,FALSE,,
1735,🇱🇮,FALSE,,
1736,🇱🇹,FALSE,,
1737,🇱🇺,FALSE,,
1738,🇲🇴,FALSE,,
1739,🇲🇬,FALSE,,
1740,🇲🇼,FALSE,,
1741,🇲🇾,FALSE,,
1742,🇲🇻,FALSE,,
1743,🇲🇱,FALSE,,
1744,🇲🇹,FALSE,,
1745,🇲🇭,FALSE,,
1746,🇲🇶,FALSE,,
1747,🇲🇷,FALSE,,
1748,🇲🇺,FALSE,,
1749,🇾🇹,FALSE,,
1750,🇲🇽,FALSE,,
1751,🇫🇲,FALSE,,
1752,🇲🇩,FALSE,,
1753,🇲🇨,FALSE,,
1754,🇲🇳,FALSE,,
1755,🇲🇪,FALSE,,
1756,🇲🇸,FALSE,,
1757,🇲🇦,FALSE,,
1758,🇲🇿,FALSE,,
1759,🇲🇲,FALSE,,
1760,🇳🇦,FALSE,,
1761,🇳🇷,FALSE,,
1762,🇳🇵,FALSE,,
1763,🇳🇱,FALSE,,
1764,🇳🇨,FALSE,,
1765,🇳🇿,FALSE,,
1766,🇳🇮,FALSE,,
1767,🇳🇪,FALSE,,
1768,🇳🇬,FALSE,,
1769,🇳🇺,FALSE,,
1770,🇳🇫,FALSE,,
1771,🇰🇵,FALSE,,
1772,🇲🇰,FALSE,,
1773,🇲🇵,FALSE,,
1774,🇳🇴,FALSE,,
1775,🇴🇲,FALSE,,
1776,🇵🇰,FALSE,,
1777,🇵🇼,FALSE,,
1778,🇵🇸,FALSE,,
1779,🇵🇦,FALSE,,
1780,🇵🇬,FALSE,,
1781,🇵🇾,FALSE,,
1782,🇵🇪,FALSE,,
1783,🇵🇭,FALSE,,
1784,🇵🇳,FALSE,,
1785,🇵🇱,FALSE,,
1786,🇵🇹,FALSE,,
1787,🇵🇷,FALSE,,
1788,🇶🇦,FALSE,,
1789,🇷🇪,FALSE,,
1790,🇷🇴,FALSE,,
1791,🇷🇺,FALSE,,
1792,🇷🇼,FALSE,,
1799,🇼🇸,FALSE,,
1800,🇸🇲,FALSE,,
1801,🇸🇹,FALSE,,
1802,🇸🇦,FALSE,,
1803,🇸🇳,FALSE,,
1804,🇷🇸,FALSE,,
1805,🇸🇨,FALSE,,
1806,🇸🇱,FALSE,,
1807,🇸🇬,FALSE,,
1808,🇸🇽,FALSE,,
1809,🇸🇰,FALSE,,
1810,🇸🇮,FALSE,,
1814,🇬🇸,FALSE,,
1811,🇸🇧,FALSE,,
1812,🇸🇴,FALSE,,
1813,🇿🇦,FALSE,,
1815,🇰🇷,FALSE,,
1816,🇸🇸,FALSE,,
1817,🇪🇸,FALSE,,
1818,🇱🇰,FALSE,,
1797,🇧🇱,FALSE,,
1793,🇸🇭,FALSE,,
1794,🇰🇳,FALSE,,
1795,🇱🇨,FALSE,,
1798,🇵🇲,FALSE,,
1796,🇻🇨,FALSE,,
1819,🇸🇩,FALSE,,
1820,🇸🇷,FALSE,,
1821,🇸🇪,FALSE,,
1822,🇨🇭,FALSE,,
1823,🇸🇾,FALSE,,
1824,🇹🇼,FALSE,,
1825,🇹🇯,FALSE,,
1826,🇹🇿,FALSE,,
1827,🇹🇭,FALSE,,
1828,🇹🇱,FALSE,,
1829,🇹🇬,FALSE,,
1830,🇹🇰,FALSE,,
1831,🇹🇴,FALSE,,
1832,🇹🇹,FALSE,,
1833,🇹🇳,FALSE,,
1834,🇹🇷,FALSE,,
1835,🇹🇲,FALSE,,
1836,🇹🇨,FALSE,,
1837,🇹🇻,FALSE,,
1847,🇻🇮,FALSE,,
1838,🇺🇬,FALSE,,
1839,🇺🇦,FALSE,,
1840,🇦🇪,FALSE,,
1841,🇬🇧,FALSE,,
1842,🏴󠁧󠁢󠁥󠁮󠁧󠁿,FALSE,,
1843,🏴󠁧󠁢󠁳󠁣󠁴󠁿,FALSE,,
1844,🏴󠁧󠁢󠁷󠁬󠁳󠁿,FALSE,,
1845,🇺🇸,FALSE,,
1846,🇺🇾,FALSE,,
1848,🇺🇿,FALSE,,
1849,🇻🇺,FALSE,,
1850,🇻🇦,FALSE,,
1851,🇻🇪,FALSE,,
1852,🇻🇳,FALSE,,
1853,🇼🇫,FALSE,,
1854,🇪🇭,FALSE,,
1855,🇾🇪,FALSE,,
1856,🇿🇲,FALSE,,
1857,🇿🇼,FALSE,,
36,🙂‍↕️,TRUE,Nodz,"Confirmation Bias, Exactlyyyyyy"
39,🙂‍↔️,TRUE,Sidespin,"Nuh Uh, I Don't Think So, U Spin Me Right Round"
385,👩‍🦽‍➡️,FALSE,,
386,🧑‍🦽‍➡️,FALSE,,
387,👨‍🦽‍➡️,FALSE,,
391,👩‍🦼‍➡️,FALSE,,
392,🧑‍🦼‍➡️,FALSE,,
393,👨‍🦼‍➡️,FALSE,,
397,🚶‍♀️‍➡️,FALSE,,
398,🚶‍➡️,FALSE,,
399,🚶‍♂️‍➡️,FALSE,,
403,👩‍🦯‍➡️,FALSE,,
404,🧑‍🦯‍➡️,FALSE,,
405,👨‍🦯‍➡️,FALSE,,
412,🏃‍♀️‍➡️,FALSE,,
413,🏃‍➡️,FALSE,,
414,🏃‍♂️‍➡️,FALSE,,
415,🧎‍♀️‍➡️,FALSE,,
416,🧎‍➡️,FALSE,,
417,🧎‍♂️‍➡️,FALSE,,
607,🐦‍🔥,TRUE,"Spicybird, Phoenix",Arizona Native
627,🍄‍🟫,TRUE,Portobello,
697,🍋‍🟩,TRUE,"Margarita, Lime, Squeeze","Ginto Buddy, Easy Squeezy, Live Laugh Lime, Pucker Up, Behind Enemy Limes, Busta Limes"
1145,⛓️‍💥,TRUE,Lam Man,"Never Break The Chain, Stevie vs Lindsey"
1431,🧑‍🧑‍🧒,FALSE,,
1432,🧑‍🧑‍🧒‍🧒,FALSE,,
1433,🧑‍🧒,FALSE,,
1434,🧑‍🧒‍🧒,FALSE,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,"Tailored Foo, Tailored Bar, Tailored Baz"
